date, pm25, pm10, o3, no2, so2, co
2018/10/15, 88, 44, 36, 25, 4, 8
2018/10/16, 98, 38, 26, 25, 4, 8
2018/10/17, 78, 34, 37, 21, 4, 7
2018/10/18, 74, 50, 54, 21, 4, 6
2018/10/19, 99, 55, 61, 17, 4, 5
2018/10/20, 92, 49, 56, 17, 5, 4
2018/10/21, 89, 57, 62, 29, 7, 5
2018/10/22, 98, 62, 54, 27, 5, 8
2018/10/23, 113, 57, 57, 24, 5, 7
2018/10/24, 101, 58, 63, 21, 4, 6
2018/10/25, 114, 84, 104, 31, 6, 8
2018/10/26, 157, 51, 69, 17, 6, 6
2018/10/27, 105, 59, 74, 24, 7, 6
2018/10/28, 100, 75, 82, 36, 7, 6
2018/10/29, 117, 66, 65, 35, 7, 6
2018/10/30, 116, 56, 64, 20, 7, 5
2018/10/31, 93, 59, 66, 14, 7, 5
2018/11/1, 98, 65, 50, 16, 5, 6
2018/11/2, 130, 55, 32, 30, 4, 6
2018/11/3, 106, 56, 43, 24, 5, 6
2018/11/4, 114, 52, 45, 22, 6, 6
2018/11/5, 98, 50, 45, 27, 5, 6
2018/11/6, 84, 76, 52, 33, 6, 6
2018/11/7, 124, 79, 51, 29, 6, 10
2018/11/8, 160, 56, 56, 24, 6, 7
2018/11/9, 113, 66, 45, 20, 5, 7
2018/11/10, 124, 63, 48, 27, 6, 7
2018/11/11, 125, 82, 91, 35, 7, 7
2018/11/12, 152, 56, 55, 21, 5, 7
2018/11/13, 110, 50, 54, 19, 5, 7
2018/11/14, 83, 49, 51, 18, 5, 5
2018/11/15, 80, 49, 46, 20, 5, 5
2018/11/16, 89, 63, 41, 26, 5, 7
2018/11/17, 121, 64, 40, 23, 5, 7
2018/11/18, 101, 56, 42, 23, 4, 7
2018/11/19, 95, 53, 44, 22, 4, 7
2018/11/20, 88, 60, 61, 22, 5, 7
2018/11/21, 114, 51, 38, 16, 3, 7
2018/11/22, 147, 70, 58, 22, 4, 8
2018/11/23, 167, 79, 60, 26, 4, 8
2018/11/24, 144, 70, 33, 30, 4, 8
2018/11/25, 142, 38, 27, 24, 4, 7
2018/11/26, 93, 73, 27, 28, 5, 9
2018/11/27, 149, 67, 25, 27, 5, 8
2018/11/28, 148, 73, 56, 29, 4, 7
2018/11/29, 142, 62, 65, 28, 5, 7
