date, pm25, pm10, o3, no2, so2, co
2019/2/14, 79, 28, , 10, 2, 4
2019/2/15, 75, 17, , 8, 2, 3
2019/2/16, 36, 21, , 12, 4, 5
2019/2/17, 52, 73, , 32, 10, 14
2019/2/18, 170, 70, , 19, 4, 14
2019/2/19, 198, 95, , 24, 4, 16
2019/2/20, 187, 143, , 31, 5, 19
2019/2/21, 250, 197, , 38, 7, 23
2019/2/22, 312, 69, , 32, 8, 13
2019/2/23, 158, 117, , 50, 13, 23
2019/2/24, 244, 53, , 30, 10, 18
2019/2/25, 131, 49, , 34, 7, 12
2019/2/26, 91, 65, , 33, 8, 14
2019/2/27, 146, 114, , 38, 10, 16
2019/2/28, 223, 95, , 33, 8, 11
2019/3/1, 193, 95, , 28, 8, 10
2019/3/2, 197, 97, , 25, 8, 10
2019/3/3, 207, 103, , 28, 6, 12
2019/3/4, 204, 65, , 28, 6, 11
2019/3/5, 168, 43, , 9, 2, 5
2019/3/6, 62, 53, , 21, 4, 8
2019/3/7, 122, 63, , 23, 6, 6
2019/3/8, 151, 69, , 27, 9, 10
2019/3/9, 163, 68, , 35, 7, 10
2019/3/10, 154, 39, , 20, 3, 7
2019/3/11, 122, 26, , 8, 2, 4
2019/3/12, 53, 34, , 14, 4, 5
2019/3/13, 74, 50, , 20, 5, 16
2019/3/14, 95, 35, , 10, 3, 4
2019/3/15, 34, 58, , 22, 7, 7
2019/3/16, 94, 64, , 27, 8, 9
2019/3/17, 134, 85, , 23, 12, 10
2019/3/18, 168, 70, , 17, 8, 8
2019/3/19, 150, 68, , 28, 7, 15
2019/3/20, 145, 32, , 9, 2, 5
2019/3/21, 31, 31, , 19, 3, 4
2019/3/22, 54, 32, , 8, 3, 3
2019/3/23, 31, 59, , 17, 6, 5
2019/3/24, 101, 66, , 21, 6, 6
2019/3/25, 114, 88, , 30, 9, 11
2019/3/26, 157, 84, , 25, 7, 11
2019/3/27, 139, 37, , 13, 4, 4
2019/3/28, 55, 58, , 19, 6, 6
2019/3/29, 65, 39, , 6, 2, 2
2019/3/30, 22, 34, , 16, 3, 3
2019/3/31, 43, 41, , 16, 10, 9
2018/10/1, 44, 27, , 16, 2, 4
2018/10/2, 50, 48, , 28, 4, 5
2018/10/3, 85, 60, , 23, 11, 8
2018/10/4, 130, 60, , 22, 9, 7
2018/10/5, 139, 43, , 13, 3, 4
2018/10/6, 60, 47, , 22, 3, 5
2018/10/7, 66, 52, , 29, 6, 6
2018/10/8, 99, 30, , 9, 1, 2
2018/10/9, 35, 30, , 15, 2, 4
2018/10/10, 47, 27, , 16, 2, 3
2018/10/11, 54, 64, , 32, 6, 9
2018/10/12, 162, 85, , 33, 11, 12
2018/10/13, 163, 78, , 35, 6, 8
2018/10/14, 165, 81, , 34, 8, 13
2018/10/15, 171, 45, , 22, 4, 15
2018/10/16, 136, 50, , 28, 12, 14
2018/10/17, 101, 53, , 30, 7, 12
2018/10/18, 118, 59, , 31, 7, 8
2018/10/19, 137, 69, , 31, 11, 10
2018/10/20, 163, 82, , 38, 9, 11
2018/10/21, 177, 81, , 25, 7, 9
2018/10/22, 167, 44, , 18, 3, 4
2018/10/23, 57, 91, , 39, 11, 13
2018/10/24, 159, 95, , 42, 9, 13
2018/10/25, 182, 47, , 9, 2, 2
2018/10/26, 43, 38, , 17, 4, 3
2018/10/27, 56, 41, , 12, 3, 3
2018/10/28, 47, 29, , 12, 2, 3
2018/10/29, 35, 49, , 24, 3, 6
2018/10/30, 82, 51, , 28, 7, 8
2018/10/31, 103, 67, , 39, 8, 15
2018/11/1, 153, 77, , 42, 18, 15
2018/11/2, 174, 89, , 39, 13, 15
2018/11/3, 191, 103, , 30, 6, 12
2018/11/4, 163, 39, , 14, 5, 7
2018/11/5, 73, 36, , 21, 3, 6
2018/11/6, 82, 56, , 30, 6, 8
2018/11/7, 119, 61, , 26, 9, 11
2018/11/8, 147, 50, , 19, 4, 7
2018/11/9, 134, 49, , 19, 7, 9
2018/11/10, 60, 46, , 22, 5, 9
2018/11/11, 99, 69, , 30, 8, 13
2018/11/12, 165, 77, , 35, 12, 18
2018/11/13, 198, , , 35, 8, 23
2018/11/14, 231, 33, , 25, 5, 18
2018/11/15, 175, 20, , 16, 4, 4
2018/11/16, 56, 54, , 26, 9, 8
2018/11/17, 137, 78, , 26, 5, 9
2018/11/18, 149, 84, , 33, 9, 14
2018/11/19, 172, 74, , 29, 8, 12
2018/11/20, 152, 42, , 19, 5, 10
2018/11/21, 84, 60, , 28, 6, 10
2018/11/22, 131, 82, , 36, 13, 17
2018/11/23, 168, 80, , 30, 10, 14
2018/11/24, 175, 117, , 45, 12, 18
2018/11/25, 234, 168, , 37, 8, 20
2018/11/26, 309, 228, , 27, 4, 11
2018/11/27, 173, 116, , 34, 10, 10
2018/11/28, 131, 72, , 24, 9, 7
2018/11/29, 97, 94, , 31, 7, 9
2018/11/30, 122, 129, , 42, 12, 20
2018/12/1, 186, 92, , 35, 8, 23
2018/12/2, 184, 201, , 14, 3, 9
2018/12/3, 127, 69, , 18, 4, 4
2018/12/4, 60, 69, , 25, 6, 5
2018/12/5, 87, 41, , 14, 5, 5
2018/12/6, 65, 29, , 12, 3, 2
2018/12/7, 44, 40, , 16, 4, 3
2018/12/8, 49, 59, , 24, 10, 7
2018/12/9, 127, 63, , 38, 12, 11
2018/12/10, 145, 56, , 21, 5, 7
2018/12/11, 90, 80, , 31, 12, 11
2018/12/12, 140, 47, , 23, 6, 7
2018/12/13, 79, 53, , 33, 12, 10
2018/12/14, 124, 102, , 36, 14, 15
2018/12/15, 199, 176, , 59, 18, 25
2018/12/16, 313, 53, , 25, 6, 7
2018/12/17, 96, 65, , 29, 9, 12
2018/12/18, 116, 65, , 37, 7, 12
2018/12/19, 117, 72, , 40, 9, 14
2018/12/20, 134, 77, , 34, 10, 12
2018/12/21, 135, 74, , 32, 9, 13
2018/12/22, 134, 49, , 12, 4, 6
2018/12/23, 51, 67, , 29, 11, 12
2018/12/24, 127, 67, , 25, 9, 13
2018/12/25, 111, 50, , 19, 7, 9
2018/12/26, 70, 49, , 11, 3, 5
2018/12/27, 47, 45, , 12, 3, 4
2018/12/28, 46, 44, , 21, 6, 5
2018/12/29, 77, 42, , 26, 7, 8
2018/12/30, 79, , , , , 
2018/7/1, 125, 45, , 9, 2, 7
2018/7/2, 102, 40, , 11, 1, 6
2018/7/3, 83, 57, , 13, 3, 8
2018/7/4, 115, 72, , 13, 2, 8
2018/7/5, 118, 60, , 14, 10, 17
2018/7/6, 136, 46, , 11, 6, 9
2018/7/7, 97, 46, , 7, 1, 6
2018/7/8, 127, 33, , 11, 4, 6
2018/7/9, 98, 27, , 9, 2, 5
2018/7/10, 69, 39, , 11, 2, 6
2018/7/11, 93, 59, , 13, 1, 10
2018/7/12, 129, 41, , 14, 1, 6
2018/7/13, 104, 32, , 8, 1, 7
2018/7/14, 91, 47, , 7, 1, 6
2018/7/15, 107, 54, , 7, 1, 7
2018/7/16, 119, 55, , 11, 1, 8
2018/7/17, 121, 57, , 9, 1, 7
2018/7/18, 117, 70, , 10, 2, 7
2018/7/19, 139, 61, , 9, 2, 6
2018/7/20, 122, 64, , 7, 4, 7
2018/7/21, 112, 72, , 11, 6, 9
2018/7/22, 134, 47, , 11, 4, 5
2018/7/23, 102, 28, , 3, , 5
2018/7/24, 47, 36, , 7, 1, 13
2018/7/25, 70, 43, , 7, 2, 14
2018/7/26, 93, 47, , 6, 3, 8
2018/7/27, 114, 53, , 8, 4, 11
2018/7/28, 128, 55, , 8, 3, 10
2018/7/29, 152, 55, , 9, 4, 14
2018/7/30, 131, 56, , 11, 2, 9
2018/7/31, 130, 74, , 12, 3, 14
2018/8/1, 152, 51, , 10, 5, 20
2018/8/2, 145, 62, , 10, 5, 12
2018/8/3, 127, 53, , 7, 5, 10
2018/8/4, 115, 43, , 5, 1, 7
2018/8/5, 76, 41, , 9, 2, 9
2018/8/6, 67, 38, , 12, 1, 12
2018/8/7, 96, 17, , 10, , 13
2018/8/8, 90, 36, , 9, 1, 12
2018/8/9, 72, 56, , 14, 2, 11
2018/8/10, 124, 55, , 10, 4, 10
2018/8/11, 132, 54, , 7, 2, 9
2018/8/12, 130, 51, , 8, 2, 8
2018/8/13, 119, 12, , 8, 1, 6
2018/8/14, 40, 23, , 4, 2, 5
2018/8/15, 42, 40, , 7, 7, 5
2018/8/16, 54, 47, , 12, 6, 6
2018/8/17, 65, 51, , 12, 5, 10
2018/8/18, 92, 21, , 8, 2, 5
2018/8/19, 52, 31, , 3, 2, 6
2018/8/20, 65, 34, , 7, 2, 4
2018/8/21, 62, 44, , 21, 4, 9
2018/8/22, 72, 53, , 16, 6, 9
2018/8/23, 106, 46, , 14, 6, 11
2018/8/24, 91, 51, , 14, 6, 8
2018/8/25, 91, 64, , 15, 7, 12
2018/8/26, 118, 49, , 13, 6, 8
2018/8/27, 86, 51, , 12, 3, 8
2018/8/28, 90, 37, , 11, 2, 5
2018/8/29, 67, 36, , 19, 2, 7
2018/8/30, 64, 38, , 19, 3, 8
2018/8/31, 95, 37, , 12, 4, 8
2018/9/1, 88, 37, , 11, 3, 8
2018/9/2, 106, 13, , 13, 4, 7
2018/9/3, 118, 29, , 11, 2, 3
2018/9/4, 28, 53, , 20, 5, 8
2018/9/5, 61, 59, , 11, 5, 4
2018/9/6, 67, 30, , 13, 2, 3
2018/9/7, 28, 29, , 12, 3, 4
2018/9/8, 34, 38, , 15, 6, 5
2018/9/9, 48, 57, , 21, 10, 10
2018/9/10, 84, 51, , 12, 7, 6
2018/9/11, 92, 61, , 17, 9, 10
2018/9/12, 120, 70, , 20, 5, 11
2018/9/13, 133, 70, , 19, 3, 8
2018/9/14, 153, 43, , 13, 4, 8
2018/9/15, 86, 36, , 18, 4, 7
2018/9/16, 43, 60, , 25, 6, 8
2018/9/17, 94, 57, , 18, 6, 7
2018/9/18, 117, 62, , 21, 3, 11
2018/9/19, 158, 40, , 16, 6, 11
2018/9/20, 107, 48, , 15, 4, 9
2018/9/21, 85, 47, , 17, 4, 6
2018/9/22, 51, 34, , 10, 2, 5
2018/9/23, 27, 26, , 10, 4, 6
2018/9/24, 31, 29, , 15, 3, 7
2018/9/25, 39, 48, , 23, 6, 9
2018/9/26, 75, 54, , 24, 8, 14
2018/9/27, 108, 52, , 20, 2, 8
2018/9/28, 130, 32, , 14, 3, 6
2018/9/29, 57, 30, , 14, 3, 2
2018/9/30, 47, 30, , 15, 2, 3
2018/4/1, 221, 130, , 22, 6, 14
2018/4/2, 213, 103, , 11, 2, 5
2018/4/3, 57, 34, , 17, 2, 9
2018/4/4, 83, 61, , 15, 1, 7
2018/4/5, 121, 64, , 8, 1, 4
2018/4/6, 72, 33, , 11, 1, 4
2018/4/7, 45, 50, , 20, 6, 9
2018/4/8, 90, 92, , 35, 10, 13
2018/4/9, 158, 103, , 25, 7, 13
2018/4/10, 125, 39, , 15, 2, 6
2018/4/11, 56, 73, , 24, 4, 8
2018/4/12, 83, 50, , 24, 3, 8
2018/4/13, 91, 105, , 8, 1, 3
2018/4/14, 73, 92, , 15, 1, 3
2018/4/15, 75, 106, , 21, 6, 8
2018/4/16, 149, 127, , 17, 6, 9
2018/4/17, 154, 121, , 17, 5, 9
2018/4/18, 155, 107, , 17, 6, 11
2018/4/19, 155, 102, , 28, 5, 14
2018/4/20, 165, 80, , 21, 4, 12
2018/4/21, 146, 27, , 10, 1, 7
